id,question,options,answer,type
1,数据仓库数据的哪个特性意味着数据一旦进入数据仓库，一般不会被修改或删除？,"{'A': '面向主题', 'B': '集成性', 'C': '非易失性', 'D': '时变性'}",C,choice
2,以下哪项不是数据仓库的特点？,"{'A': '面向事务', 'B': '面向分析', 'C': '数据集成', 'D': '历史数据'}",A,choice
3,数据仓库的概念是由谁提出的？,"{'A': 'E.F. Codd', 'B': 'Bill Inmon', 'C': 'Raymond Agrawal', 'D': 'Jiawei Han'}",B,choice
4,关于ODS（操作数据存储）的说法，错误的是？,"{'A': '面向主题的', 'B': '集成的', 'C': '当前的或近当前的', 'D': '主要用于长期的历史分析'}",D,choice
5,数据仓库的最终目的是？,"{'A': '存储海量数据', 'B': '进行联机事务处理（OLTP）', 'C': '支持管理决策', 'D': '替代数据库'}",C,choice
6,“数据超市”通常是指？,"{'A': '整个企业的中央数据仓库', 'B': '面向特定部门或主题的小型数据仓库', 'C': 'ODS', 'D': '源数据库'}",B,choice
7,在数据仓库的三层架构中，不包括以下哪一层？,"{'A': '数据源层', 'B': 'ETL层', 'C': '数据仓库存储层', 'D': '业务应用层'}",D,choice
8,元数据不包含以下哪种信息？,"{'A': '数据源的描述', 'B': '数据转换规则', 'C': '具体的销售记录', 'D': '数据粒度的定义'}",C,choice
9,数据仓库的数据粒度描述了数据的？,"{'A': '质量水平', 'B': '详细程度', 'C': '来源渠道', 'D': '存储格式'}",B,choice
10,以下关于数据仓库和数据库的说法，正确的是？,"{'A': '数据仓库是数据库的替代品', 'B': '数据库主要用于复杂分析，数据仓库用于日常事务处理', 'C': '数据仓库的数据来源于多个异构的操作型数据库', 'D': '数据库和数据仓库没有区别'}",C,choice
11,在星型模式中，事实表与维度表之间的关系通常是？,"{'A': '一对一', 'B': '多对多', 'C': '一对多', 'D': '没有关系'}",C,choice
12,以下哪张表最可能是一个事实表？,"{'A': '商品表（商品ID，商品名称，类别）', 'B': '客户表（客户ID，客户姓名，地址）', 'C': '销售记录表（交易ID，时间ID，商品ID，客户ID，销售金额）', 'D': '日期表（日期ID，年，月，日）'}",C,choice
13,雪花模式与星型模式的主要区别在于？,"{'A': '事实表的结构不同', 'B': '维度表是否进行了规范化', 'C': '包含的维度数量不同', 'D': '数据量大小不同'}",B,choice
14,以下哪个OLAP操作可以将不同城市的数据汇总到国家级别？,"{'A': '切片', 'B': '切块', 'C': '钻取', 'D': '上卷'}",D,choice
15,哪个OLAP操作是固定一个维度的成员，观察其他维度的数据？,"{'A': '切片', 'B': '旋转', 'C': '钻取', 'D': '上卷'}",A,choice
16,关于维度表中的“缓慢变化维”问题，以下哪种解决方案是直接用新值覆盖旧值？,"{'A': '类型1', 'B': '类型2', 'C': '类型3', 'D': '类型4'}",A,choice
17,哪种缓慢变化维解决方案会添加新的维度行来保存历史记录？,"{'A': '类型1', 'B': '类型2', 'C': '类型3', 'D': '类型4'}",B,choice
18,在事实表中，最常见的键是？,"{'A': '主键', 'B': '外键', 'C': '代理键', 'D': '唯一键'}",B,choice
19,多维表达式（MDX）主要用于？,"{'A': '关系数据库查询', 'B': '数据挖掘算法实现', 'C': '多维数据库查询', 'D': 'ETL过程开发'}",C,choice
20,以下关于粒度说法错误的是？,"{'A': '低粒度数据细节丰富，存储空间大', 'B': '高粒度数据是高度汇总的数据', 'C': '粒度设计不影响查询性能', 'D': '粒度设计需要在存储成本和查询需求之间平衡'}",C,choice
21,ETL过程中的“T”代表什么？,"{'A': '传输', 'B': '转换', 'C': '交易', 'D': '测试'}",B,choice
22,以下哪项不是数据清洗的主要任务？,"{'A': '处理缺失值', 'B': '平滑噪声数据', 'C': '数据集成', 'D': '识别并消除异常点'}",C,choice
23,"将数据按比例缩放，使之落入一个特定的区间（如[0,1]）的方法是？","{'A': '数据清洗', 'B': '最小-最大规范化', 'C': 'z-score规范化', 'D': '数据聚合'}",B,choice
24,使用数据的均值和标准差进行规范化，得到均值为0，标准差为1的数据分布的方法是？,"{'A': '小数定标规范化', 'B': 'z-score规范化', 'C': '最小-最大规范化', 'D': '对数变换'}",B,choice
25,将多个数据源中的数据合并并存放到一个一致的数据存储（如数据仓库）中的过程是？,"{'A': '数据清洗', 'B': '数据集成', 'C': '数据变换', 'D': '数据归约'}",B,choice
26,数据归约技术不包括？,"{'A': '数据立方体聚合', 'B': '维度归约（如PCA）', 'C': '数值归约（如回归、聚类）', 'D': '数据加密'}",D,choice
27,主成分分析（PCA）是一种？,"{'A': '分类技术', 'B': '聚类技术', 'C': '维度归约技术', 'D': '关联规则挖掘技术'}",C,choice
28,处理缺失值时，用一个全局常量（如“unknown”）填充，这种方法的主要缺点是？,"{'A': '计算复杂', 'B': '可能会扭曲数据的分布', 'C': '无法处理数值型数据', 'D': '以上都是'}",B,choice
29,在数据集成中，来自不同数据源的同一个实体，由于命名不同而导致的问题称为？,"{'A': '冗余问题', 'B': '不一致问题', 'C': '实体识别问题', 'D': '模式集成问题'}",C,choice
30,以下哪种方法不是处理数据冗余的方法？,"{'A': '相关性分析', 'B': '协方差计算', 'C': '主成分分析', 'D': '决策树'}",D,choice
31,数据挖掘是以下哪个数据库阶段的发展？,"{'A': '数据采集', 'B': '数据管理', 'C': '数据分析和理解', 'D': '数据存储'}",C,choice
32,以下哪项不是数据挖掘的主要任务？,"{'A': '分类与预测', 'B': '聚类分析', 'C': '关联规则挖掘', 'D': '联机事务处理'}",D,choice
33,关联规则挖掘的目的是发现数据中项与项之间的？,"{'A': '因果关系', 'B': '相关关系', 'C': '函数关系', 'D': '逻辑关系'}",B,choice
34,关联规则 A -> B 的置信度为60%表示？,"{'A': '所有事务中60%同时包含A和B', 'B': '包含A的事务中，有60%也包含B', 'C': '包含B的事务中，有60%也包含A', 'D': 'A和B同时出现的概率是60%'}",B,choice
35,Apriori算法利用了什么性质来提高效率？,"{'A': '任何频繁项集的子集都是频繁的', 'B': '任何非频繁项集的超集都是非频繁的', 'C': '任何频繁项集的超集都是频繁的', 'D': '任何非频繁项集的子集都是非频繁的'}",B,choice
36,除了Apriori，另一种常见的关联规则挖掘算法是？,"{'A': 'K-Means', 'B': 'FP-Growth', 'C': 'ID3', 'D': 'PageRank'}",B,choice
37,如果最小支持度设置过高，会导致？,"{'A': '发现过多的规则', 'B': '可能漏掉一些有意义的规则', 'C': '计算时间变长', 'D': '规则置信度降低'}",B,choice
38,评估关联规则除了支持度和置信度，还可以用？,"{'A': '准确率', 'B': '召回率', 'C': '提升度', 'D': 'F1值'}",C,choice
